 50 | 0999829340
100 | 2877850745

10,000 | 8108326000
12,000 | 4170064597
15,000 | 6124532913
20,000 | 9517848739
25,000 | 4558692015
40,000 | 1379657967
50,000 | 1090436315
75,000 | 4373875460

100,000 | 4548069381
120,000 | 9477988644
150,000 | 5467265713
200,000 | 1252594198
250,000 | 8215108999
400,000 | 7941413959
500,000 | 4715518253
750,000 | 0147724533

1,000,000 | 1965596305
1,200,000 | 2131143461
1,500,000 | 7686672919
2,000,000 | 7095297925
2,500,000 | 7818706076
4,000,000 | 4889462260
5,000,000 | 6363115287
7,500,000 | 5214233533

10,000,000 | 5875384056
12,000,000 | 1875498515
15,000,000 | 3300556481
20,000,000 | 0865105574
25,000,000 | 8352700937
40,000,000 | 7578676209
50,000,000 | 3724863548
75,000,000 | 9796274324

100,000,000 | 3811025942
120,000,000 | 3491857489
150,000,000 | 1197859314
200,000,000 | 0544948039
250,000,000 | 7327350935
400,000,000 | 3637785985
500,000,000 | 9796574399
750,000,000 | 6029844656

1,000,000,000 | 2116917992
1,200,000,000 | 3377211282
1,500,000,000 | 8780332185
2,000,000,000 | 5796347997
2,500,000,000 | 7877178930
4,000,000,000 | 2162604992
5,000,000,000 | 6843466262
7,500,000,000 | 2091308586

10,000,000,000 | 4044277861
12,000,000,000 | 8434433953
15,000,000,000 | 9646829983
20,000,000,000 | 8926171302
25,000,000,000 | 0340104619
40,000,000,000 | 2579953575
50,000,000,000 | 9230584058     //  Alexander Yee (2024)
75,000,000,000 | 6471989705     //  Dmitriy Grigoryev (2025)

100,000,000,000 | 1736166708
120,000,000,000 | 3682600673
135,000,000,000 | 1375265434    //  Dmitriy Grigoryev (2025)
150,000,000,000 | 6807332305
200,000,000,000 | 0166491525
250,000,000,000 | 0751799736
270,000,000,000 | 0893294261    //  Dmitriy Grigoryev (2025)
